output_file;name;image_name;lambda;window_size;dmin;imscale;time;ssd;ssim;ncc
output;dynamic;cones1;100;5;230;1;69;21155;0.0129349;1.35555
output;dynamic;cones1;4;5;230;1;62;21850.6;0.0104666;-nan
output;dynamic;cones1;50;5;230;1;67;21850.6;0.0104666;-nan
output;dynamic;cones1;100;5;200;1;72;21155;0.0129349;1.35555
output;dynamic;cones1;300;5;200;1;65;12847.9;0.113712;10.0426
output;dynamic;cones1;500;5;200;1;64;15466.4;0.0955485;8.32762
output;dynamic;cones1;400;5;200;1;66;15088.4;0.0856654;7.7777
output;dynamic;cones1;350;5;200;1;65;13496;0.116041;9.42916
output;dynamic;cones1;300;5;230;1;65;12847.9;0.113712;10.0426
output;dynamic;cones1;300;5;180;1;64;12847.9;0.113712;10.0426
output;dynamic;cones1;300;5;180;1;71;12847.9;0.113712;10.0426
output;dynamic;cones1;300;7;180;1;70;18992.9;0.0217525;1.89022
output;dynamic;cones1;400;7;180;1;72;16470.2;0.044981;4.39863
output;dynamic;cones1;700;7;180;1;64;15895;0.0666041;8.64479
output;dynamic;cones1;800;7;180;1;65;16453.6;0.0635625;7.21963
output;naive;rocks1;100;1;274;1;12;7129.82;0.48189;5.39844
output;naive;rocks1;100;3;274;1;40;8636.15;0.335968;3.63676
output;naive;rocks1;100;5;274;1;102;7962.14;0.511859;4.52313
output;naive;rocks1;100;5;274;1;105;10726.9;0.522139;2.39397
output;naive;rocks1;100;3;274;1;43;11411.6;0.308084;1.91492
output;naive;rocks1;100;1;274;1;14;10925.1;0.254813;0.536043
output;naive;rocks1;100;7;274;1;187;10652.5;0.572209;1.41625
output;naive;rocks1;100;7;274;1;181;6623.38;0.654456;6.46472
output;dynamic;rocks1;100;1;274;1;200;10221.8;0.628428;2.98903
output;dynamic;rocks1;0;1;274;1;188;19509.9;0.0461243;-nan
output;dynamic;rocks1;50;1;274;1;192;10240.8;0.665185;5.28357
output;dynamic;rocks1;100;1;274;1;186;10221.8;0.628428;2.98903
output;dynamic;rocks1;25;1;274;1;194;11708.1;0.61395;4.69788
output;dynamic;rocks1;50;1;274;1;205;10240.8;0.665185;5.28357
output;dynamic;rocks1;50;3;274;1;204;19413.8;0.131714;0.125905
output;dynamic;rocks1;100;3;274;1;193;15272.2;0.327773;2.39579
output;dynamic;rocks1;150;3;274;1;197;11250.4;0.386724;5.26889
output;dynamic;rocks1;200;3;274;1;189;11639.8;0.268931;5.33114
output;dynamic;rocks1;100;5;274;1;181;19509.9;0.0590852;-0.662597
output;dynamic;rocks1;300;5;274;1;203;13790.9;0.218656;2.41742
output;dynamic;rocks1;300;7;274;1;202;19469.9;0.0922193;0.219563
output;dynamic;rocks1;500;7;274;1;194;15464.1;0.136946;1.78146
output;dynamic;rocks1;900;7;274;1;190;12796.9;0.0879688;3.46296
output;dynamic;rocks1;700;7;274;1;162;12619.5;0.130048;4.91919
output;dynamic;rocks1;600;7;274;1;166;13617.3;0.136594;2.65837
output;dynamic;rocks1;500;7;274;1;166;15464.1;0.136946;1.78146
output;naive;art1;100;1;230;1;97;8795.26;0.490281;0.130635
output;naive;art1;100;3;230;1;372;8730.78;0.354762;0.254068
output;naive;art1;100;5;200;1;955;8592.55;0.310012;1.94437
output;naive;art1;100;7;200;1;1517;8613.96;0.288001;3.89721
output;dynamic;art1;100;1;200;1;1443;15472.9;0.454334;2.36322
output;dynamic;art1;4;3;200;1;1462;14963.3;0.419369;11.5145
output;dynamic;art1;4;5;200;1;1536;16111.9;0.278075;11.4218
output;naive;aloe1;4;1;270;1;13;4247.03;0.514774;3.09742
output;naive;aloe1;4;1;270;1;12;4247.03;0.514774;3.09742
output;naive;aloe1;4;3;270;1;41;5478.3;0.42956;7.14386
output;naive;aloe1;4;5;270;1;102;5134.64;0.529653;7.67926
output;naive;aloe1;4;7;270;1;180;5174.41;0.521462;6.87649
output;naive;baby1;4;7;270;1;173;5790.12;0.457181;10.5033
output;naive;baby1;4;1;300;1;13;5076.57;0.513868;3.73015
output;naive;baby1;4;3;300;1;41;5962.91;0.32175;7.81922
output;naive;baby1;4;5;300;1;103;5770.7;0.401042;9.45862
output;naive;baby1;4;7;300;1;180;5790.12;0.457181;10.5033
output;naive;cloth1;4;1;300;1;14;6162.18;0.617756;9.99904
output;naive;cloth1;4;3;300;1;42;6210.31;0.247252;8.32616
output;naive;cloth1;4;1;260;1;13;6162.18;0.617756;9.99904
output;naive;cloth1;4;3;260;1;44;6210.31;0.247252;8.32616
output;naive;cloth1;4;5;260;1;113;6163.72;0.180606;6.79043
output;naive;cloth1;4;7;260;1;189;6084.61;0.161186;6.10271
output;naive;cones1;4;7;230;1;63;3346.91;0.26297;12.1739
output;naive;cones1;4;1;230;1;5;4122.19;0.544374;4.79399
output;naive;cones1;4;3;230;1;15;3849.58;0.176174;8.91871
output;naive;cones1;4;5;230;1;36;3369.65;0.242452;11.1198
output;naive;cones1;4;7;230;1;64;3346.91;0.26297;12.1739
output;naive;rocks1;4;7;274;1;182;7759.81;0.549035;4.66694
output;naive;rocks1;4;5;274;1;105;7962.14;0.511859;4.52313
output;naive;rocks1;4;3;274;1;42;8636.15;0.335968;3.63676
output;naive;rocks1;4;1;274;1;13;7129.82;0.48189;5.39844
output;naive;art1;4;1;230;1;99;8795.26;0.490281;0.130635
output;naive;art1;4;3;230;1;374;8730.78;0.354762;0.254068
output;naive;art1;4;5;230;1;922;8592.55;0.310012;1.94437
output;naive;art1;4;7;230;1;1544;8613.96;0.288001;3.89721
output;naive;cloth1;4;1;260;1;13;6162.18;0.617756;9.99904
output;naive;cloth1;4;1;260;1;14;6162.18;0.617756;9.99904
output;naive;cloth1;4;5;260;1;108;6163.72;0.180606;6.79043
output;naive;cloth1;4;7;260;1;189;6084.61;0.161186;6.10271
output;dynamic;cloth1;50;1;260;1;222;14475.9;0.576253;1.35991
output;dynamic;cloth1;50;1;260;1;225;14475.9;0.576253;1.35991
output;dynamic;cloth1;50;3;260;1;241;14827.3;0.259348;2.05472
output;dynamic;cloth1;50;5;260;1;245;15499.4;0.165901;2.77717
output;dynamic;cloth1;50;7;260;1;227;16293.4;0.115992;3.03578
output;dynamic;aloe1;50;7;260;1;244;24872.2;0.0110829;-nan
output;dynamic;aloe1;200;7;260;1;238;24814.5;0.0354852;4.04036
output;dynamic;aloe1;500;7;260;1;248;15259.7;0.141568;1.8711
output;dynamic;art1;500;7;260;1;2270;18492.3;0.0207384;8.21783
output;dynamic;art1;200;7;200;1;1805;18803.7;0.0517017;3.03458
output;dynamic;cones1;200;7;200;1;58;21081.2;0.00833337;1.44175
output;dynamic;cones1;200;7;200;1;78;21081.2;0.00833337;1.44175
output;dynamic;cones1;200;7;200;1;53;21081.2;0.00833337;1.44175
output;naive;cones1;50;7;230;1;57;3346.91;0.26297;12.1739
output;naive;cones1;50;5;230;1;29;3369.65;0.242452;11.1198
output;dynamic;cones1;100;1;230;1;57;8398.86;0.39646;14.5715
output;naive;cones1;100;5;200;1;27;3369.65;0.242452;11.1198
output;naive;cones1;100;5;200;1;25;3133.74;0.240139;9.54108
output;dynamic;cones1;100;1;230;1;54;8398.86;0.39646;14.5715
